YEAR,MONTH,DATE,MonthlyMaximumTemperature,MonthlyMinimumTemperature,MonthlyMeanTemperature,AWND,CLDD,HTDD
2001,1,2001-01-31T23:59:00,59.3,32.9,46.1,5.6,4.0,591.0
2001,2,2001-02-28T23:59:00,69.8,47.3,58.6,5.8,18.0,187.0
2001,3,2001-03-31T23:59:00,67.4,45.9,56.7,7.6,12.0,262.0
2001,4,2001-04-30T23:59:00,79.5,53.7,66.6,5.8,116.0,69.0
2001,5,2001-05-31T23:59:00,86.5,60.3,73.4,5.1,261.0,0.0
2001,6,2001-06-30T23:59:00,88.8,68.9,78.9,5.1,416.0,0.0
2001,7,2001-07-31T23:59:00,93.2,72.0,82.6,4.9,528.0,0.0
2001,8,2001-08-31T23:59:00,91.7,71.5,81.6,4.7,481.0,0.0
2001,9,2001-09-30T23:59:00,85.2,64.2,74.7,4.7,298.0,7.0
2001,10,2001-10-31T23:59:00,78.2,50.4,64.3,5.4,83.0,106.0
2001,11,2001-11-30T23:59:00,76.9,48.9,62.9,5.1,49.0,112.0
2001,12,2001-12-31T23:59:00,66.5,42.9,54.7,5.1,13.0,332.0
2002,1,2002-01-31T23:59:00,63.2,39.2,51.2,5.4,10.0,437.0
2002,2,2002-02-28T23:59:00,62.5,37.0,49.8,5.8,0.0,427.0
2002,3,2002-03-31T23:59:00,74.0,45.4,59.7,6.3,54.0,219.0
2002,4,2002-04-30T23:59:00,82.4,59.8,71.1,6.0,184.0,19.0
2002,5,2002-05-31T23:59:00,87.4,61.9,74.7,6.9,312.0,12.0
2002,6,2002-06-30T23:59:00,90.0,69.7,79.9,5.4,445.0,0.0
2002,7,2002-07-31T23:59:00,92.5,71.6,82.1,4.7,528.0,0.0
2002,8,2002-08-31T23:59:00,91.5,71.0,81.3,5.4,503.0,0.0
2002,9,2002-09-30T23:59:00,89.2,70.4,79.8,6.9,444.0,0.0
2002,10,2002-10-31T23:59:00,80.2,62.5,71.4,5.1,230.0,32.0
2002,11,2002-11-30T23:59:00,66.7,42.7,54.7,5.1,21.0,332.0
2002,12,2002-12-31T23:59:00,60.2,36.5,48.4,5.8,1.0,519.0
2003,1,2003-01-31T23:59:00,59.4,32.5,46.0,6.7,3.0,593.0
2003,2,2003-02-28T23:59:00,63.8,39.5,51.7,6.0,0.0,373.0
2003,3,2003-03-31T23:59:00,72.0,51.8,61.9,6.0,42.0,138.0
2003,4,2003-04-30T23:59:00,78.4,54.0,66.2,5.8,99.0,63.0
2003,5,2003-05-31T23:59:00,86.0,64.2,75.1,6.0,313.0,0.0
2003,6,2003-06-30T23:59:00,88.4,69.7,79.1,4.9,421.0,0.0
2003,7,2003-07-31T23:59:00,89.5,71.7,80.6,4.7,467.0,0.0
2003,8,2003-08-31T23:59:00,89.8,72.4,81.1,3.8,498.0,0.0
2003,9,2003-09-30T23:59:00,86.0,65.4,75.7,5.4,281.0,2.0
2003,10,2003-10-31T23:59:00,80.0,56.1,68.1,4.7,112.0,18.0
2003,11,2003-11-30T23:59:00,74.8,47.6,61.2,5.6,71.0,184.0
2003,12,,60.36666666666667,32.7,46.766666666666666,5.820000000000001,0.0,547.0
2004,1,2004-01-31T23:59:00,61.8,33.9,47.9,5.4,4.0,528.0
2004,2,2004-02-29T23:59:00,59.5,39.3,49.4,7.2,0.0,451.0
2004,3,2004-03-31T23:59:00,76.5,48.3,62.4,6.5,41.0,122.0
2004,4,2004-04-30T23:59:00,79.7,50.2,65.0,5.8,86.0,88.0
2004,5,2004-05-31T23:59:00,88.8,64.5,76.7,5.6,330.0,5.0
2004,6,2004-06-30T23:59:00,89.9,70.9,80.4,4.7,447.0,0.0
2004,7,2004-07-31T23:59:00,92.9,72.4,82.7,4.5,493.0,0.0
2004,8,2004-08-31T23:59:00,90.9,71.8,81.4,4.5,508.0,0.0
2004,9,2004-09-30T23:59:00,85.2,69.1,77.2,9.4,353.0,0.0
2004,10,2004-10-31T23:59:00,81.6,61.2,71.4,4.3,207.0,9.0
2004,11,2004-11-30T23:59:00,72.9,49.7,61.3,6.0,58.0,169.0
2004,12,2004-12-31T23:59:00,62.0,38.0,50.0,5.6,18.0,485.0
2005,1,2005-01-31T23:59:00,64.1,41.8,53.0,6.3,6.0,378.0
2005,2,2005-02-28T23:59:00,66.0,43.8,54.9,6.3,14.0,297.0
2005,3,2005-03-31T23:59:00,69.0,44.9,57.0,6.9,21.0,270.0
2005,4,2005-04-30T23:59:00,76.0,50.6,63.3,6.5,35.0,86.0
2005,5,2005-05-31T23:59:00,84.8,60.0,72.4,5.1,232.0,3.0
2005,6,2005-06-30T23:59:00,89.0,71.5,80.3,5.4,457.0,0.0
2005,7,2005-07-31T23:59:00,93.8,76.4,85.1,4.9,578.0,0.0
2005,8,2005-08-31T23:59:00,91.6,74.5,83.1,4.9,559.0,0.0
2005,9,2005-09-30T23:59:00,92.1,69.7,80.9,5.8,477.0,0.0
2005,10,2005-10-31T23:59:00,80.4,57.2,68.8,5.4,198.0,80.0
2005,11,2005-11-30T23:59:00,74.2,48.0,61.1,5.8,45.0,162.0
2005,12,,60.666666666666664,35.766666666666666,48.43333333333333,6.013333333333332,1.0,498.0
2006,1,2006-01-31T23:59:00,68.1,44.4,56.3,6.9,11.0,281.0
2006,2,2006-02-28T23:59:00,63.6,38.7,51.2,6.0,0.0,387.0
2006,3,2006-03-31T23:59:00,74.2,46.1,60.2,6.7,41.0,191.0
2006,4,2006-04-30T23:59:00,84.5,57.4,71.0,6.5,193.0,13.0
2006,5,2006-05-31T23:59:00,87.5,62.0,74.8,6.0,307.0,4.0
2006,6,2006-06-30T23:59:00,93.8,69.3,81.6,5.4,479.0,0.0
2006,7,2006-07-31T23:59:00,95.7,72.7,84.2,4.5,595.0,0.0
2006,8,2006-08-31T23:59:00,94.5,74.2,84.4,4.5,600.0,0.0
2006,9,2006-09-30T23:59:00,87.9,66.9,77.4,4.7,373.0,0.0
2006,10,2006-10-31T23:59:00,79.9,54.2,67.1,4.9,136.0,73.0
2006,11,2006-11-30T23:59:00,71.0,44.8,57.9,6.0,23.0,236.0
2006,12,2006-12-31T23:59:00,68.0,43.2,55.6,5.1,7.0,299.0
2007,1,2007-01-31T23:59:00,63.1,42.8,53.0,6.3,15.0,388.0
2007,2,2007-02-28T23:59:00,64.3,37.0,50.7,6.0,0.0,402.0
2007,3,2007-03-31T23:59:00,77.5,47.7,62.6,5.1,65.0,139.0
2007,4,2007-04-30T23:59:00,78.2,50.3,64.3,6.5,86.0,110.0
2007,5,2007-05-31T23:59:00,89.0,73.0,81.0,6.7,312.0,1.0
2007,6,2007-06-30T23:59:00,92.5,69.7,81.1,5.1,483.0,0.0
2007,7,2007-07-31T23:59:00,93.2,72.1,82.7,4.7,547.0,0.0
2007,8,2007-08-31T23:59:00,96.2,75.0,85.6,3.8,638.0,0.0
2007,9,2007-09-30T23:59:00,89.0,68.5,78.8,5.8,413.0,0.0
2007,10,2007-10-31T23:59:00,82.2,60.9,71.6,6.0,221.0,17.0
2007,11,2007-11-30T23:59:00,71.9,43.6,57.8,4.7,7.0,224.0
2007,12,2007-12-31T23:59:00,68.9,44.4,56.7,4.3,18.0,276.0
2008,1,2008-01-31T23:59:00,59.5,37.4,48.5,5.6,6.0,518.0
2008,2,2008-02-29T23:59:00,68.2,38.8,53.5,5.4,4.0,336.0
2008,3,2008-03-31T23:59:00,72.9,44.5,58.7,6.5,24.0,219.0
2008,4,2008-04-30T23:59:00,79.0,54.0,66.5,5.6,111.0,65.0
2008,5,2008-05-31T23:59:00,88.4,62.6,75.5,6.9,326.0,0.0
2008,6,2008-06-30T23:59:00,94.5,70.3,82.4,4.5,523.0,0.0
2008,7,2008-07-31T23:59:00,93.5,72.5,83.0,4.3,557.0,0.0
2008,8,2008-08-31T23:59:00,90.0,71.6,80.8,5.8,488.0,0.0
2008,9,2008-09-30T23:59:00,88.9,67.9,78.4,5.6,402.0,0.0
2008,10,2008-10-31T23:59:00,77.8,53.9,65.9,5.6,130.0,102.0
2008,11,2008-11-30T23:59:00,68.3,42.1,55.2,4.7,19.0,312.0
2008,12,2008-12-31T23:59:00,67.9,43.3,55.6,5.4,20.0,311.0
2009,1,2009-01-31T23:59:00,64.0,39.4,51.7,5.8,9.0,420.0
2009,2,2009-02-28T23:59:00,66.1,37.5,51.8,5.6,5.0,375.0
2009,3,2009-03-31T23:59:00,71.9,47.8,59.9,5.8,16.0,175.0
2009,4,2009-04-30T23:59:00,77.8,53.3,65.6,7.4,82.0,64.0
2009,5,2009-05-31T23:59:00,85.1,65.5,75.3,6.7,321.0,2.0
2009,6,2009-06-30T23:59:00,94.9,72.2,83.6,4.3,556.0,0.0
2009,7,2009-07-31T23:59:00,91.6,71.2,81.4,4.3,508.0,0.0
2009,8,2009-08-31T23:59:00,90.7,72.4,81.6,3.6,512.0,0.0
2009,9,2009-09-30T23:59:00,88.8,69.1,79.0,4.9,418.0,0.0
2009,10,2009-10-31T23:59:00,80.1,59.5,69.8,5.4,212.0,63.0
2009,11,2009-11-30T23:59:00,69.6,44.9,57.3,4.3,6.0,238.0
2009,12,2009-12-31T23:59:00,60.0,40.5,50.3,6.5,9.0,466.0
2010,1,2010-01-31T23:59:00,56.6,33.8,45.2,6.5,0.0,613.0
2010,2,2010-02-28T23:59:00,56.3,34.0,45.2,6.3,0.0,554.0
2010,3,2010-03-31T23:59:00,67.6,41.9,54.8,6.3,4.0,320.0
2010,4,2010-04-30T23:59:00,81.9,53.0,67.5,5.1,93.0,20.0
2010,5,2010-05-31T23:59:00,89.0,66.0,77.5,4.7,388.0,0.0
2010,6,2010-06-30T23:59:00,94.6,73.0,83.8,3.6,563.0,0.0
2010,7,2010-07-31T23:59:00,95.8,74.6,85.2,4.7,627.0,0.0
2010,8,2010-08-31T23:59:00,94.2,75.6,84.9,4.3,597.0,0.0
2010,9,2010-09-30T23:59:00,92.76666666666667,67.53333333333333,80.5,3.753333333333333,465.0,0.0
2010,10,2010-10-31T23:59:00,83.9,57.1,70.5,4.3,128.0,24.0
2010,11,2010-11-30T23:59:00,72.9,44.5,58.7,4.5,17.0,207.0
2010,12,2010-12-31T23:59:00,56.3,30.5,43.4,5.8,0.0,668.0
2011,1,2011-01-31T23:59:00,56.2,32.7,44.5,5.1,0.0,636.0
2011,2,2011-02-28T23:59:00,67.8,40.9,54.4,5.4,14.0,313.0
2011,3,2011-03-31T23:59:00,74.4,49.2,61.8,6.7,41.0,140.0
2011,4,2011-04-30T23:59:00,84.4,54.6,69.5,5.8,168.0,33.0
2011,5,2011-05-31T23:59:00,90.3,60.8,75.6,5.4,333.0,6.0
2011,6,2011-06-30T23:59:00,98.4,71.4,84.9,5.1,599.0,0.0
2011,7,2011-07-31T23:59:00,95.2,73.9,84.6,4.3,607.0,0.0
2011,8,2011-08-31T23:59:00,96.8,73.3,85.1,3.8,621.0,0.0
2011,9,2011-09-30T23:59:00,88.8,65.5,77.2,4.5,365.0,0.0
2011,10,2011-10-31T23:59:00,78.4,51.5,65.0,5.1,78.0,80.0
2011,11,2011-11-30T23:59:00,73.2,47.2,60.2,6.3,40.0,183.0
2011,12,,67.4,43.166666666666664,55.46666666666667,5.130000000000001,13.0,299.0
2012,1,2012-01-31T23:59:00,68.4,41.3,54.9,5.4,11.0,356.0
2012,2,2012-02-29T23:59:00,68.2,46.1,57.2,6.0,16.0,243.0
2012,3,2012-03-31T23:59:00,80.7,55.6,68.2,5.6,145.0,47.0
2012,4,2012-04-30T23:59:00,82.2,55.9,69.1,5.4,153.0,32.0
2012,5,2012-05-31T23:59:00,89.7,65.4,77.6,4.9,389.0,0.0
2012,6,2012-06-30T23:59:00,90.4,68.5,79.5,6.5,434.0,0.0
2012,7,2012-07-31T23:59:00,95.2,73.3,84.3,5.1,596.0,0.0
2012,8,2012-08-31T23:59:00,89.2,71.9,80.6,4.7,482.0,0.0
2012,9,2012-09-30T23:59:00,87.9,66.7,77.3,4.0,368.0,0.0
2012,10,2012-10-31T23:59:00,79.2,56.1,67.7,4.9,136.0,53.0
2012,11,2012-11-30T23:59:00,69.2,42.0,55.6,4.0,8.0,289.0
2012,12,2012-12-31T23:59:00,66.1,43.0,54.6,4.9,2.0,325.0
2013,1,2013-01-31T23:59:00,68.7741935483871,45.12903225806452,57.16129032258065,6.070967741935484,27.0,270.0
2013,2,2013-02-28T23:59:00,61.7,39.8,50.8,5.1,0.0,355.0
2013,3,2013-03-31T23:59:00,66.4,41.4,53.9,7.2,11.0,358.0
2013,4,2013-04-30T23:59:00,77.9,53.0,65.5,5.8,79.0,67.0
2013,5,2013-05-31T23:59:00,83.5,59.8,71.7,5.8,227.0,20.0
2013,6,2013-06-30T23:59:00,90.2,71.3,80.8,5.1,473.0,0.0
2013,7,2013-07-31T23:59:00,88.5,71.7,80.1,4.3,469.0,0.0
2013,8,2013-08-31T23:59:00,90.2,72.0,81.1,3.8,499.0,0.0
2013,9,2013-09-30T23:59:00,87.8,68.2,78.0,4.5,391.0,0.0
2013,10,2013-10-31T23:59:00,80.5,57.3,68.9,3.4,161.0,42.0
2013,11,2013-11-30T23:59:00,68.3,45.5,56.9,6.3,19.0,262.0
2013,12,2013-12-31T23:59:00,66.5,44.1,55.3,5.6,33.0,333.0
2014,1,2014-01-31T23:59:00,55.8,32.1,44.0,6.3,0.0,651.0
2014,2,2014-02-28T23:59:00,64.9,41.6,53.3,5.4,4.0,331.0
2014,3,2014-03-31T23:59:00,68.6,43.9,56.3,5.8,2.0,275.0
2014,4,2014-04-30T23:59:00,76.9,53.9,65.4,6.0,89.0,76.0
2014,5,2014-05-31T23:59:00,85.8,61.9,73.9,4.3,286.0,11.0
2014,6,2014-06-30T23:59:00,90.5,70.0,80.3,4.5,458.0,0.0
2014,7,2014-07-31T23:59:00,92.0,71.4,81.7,4.3,517.0,0.0
2014,8,2014-08-31T23:59:00,94.2,70.6,82.4,4.5,540.0,0.0
2014,9,2014-09-30T23:59:00,87.2,69.4,78.3,4.3,370.0,0.0
2014,10,2014-10-31T23:59:00,80.9,54.9,67.9,2.9,132.0,42.0
2014,11,2014-11-30T23:59:00,66.6,39.0,52.8,4.5,8.0,373.0
2014,12,2014-12-31T23:59:00,65.7,42.4,54.1,4.3,4.0,342.0
2015,1,2015-01-31T23:59:00,60.1,37.0,48.6,5.1,2.0,511.0
2015,2,2015-02-28T23:59:00,59.464285714285715,35.857142857142854,47.964285714285715,6.4678571428571425,0.0,477.0
2015,3,2015-03-31T23:59:00,75.9,54.6,65.3,5.8,62.0,123.0
2015,4,2015-04-30T23:59:00,80.0,61.3,70.7,5.6,176.0,6.0
2015,5,2015-05-31T23:59:00,89.0,63.5,76.3,5.1,351.0,2.0
2015,6,2015-06-30T23:59:00,91.8,71.2,81.5,4.7,495.0,0.0
2015,7,2015-07-31T23:59:00,94.2,73.3,83.8,4.7,581.0,0.0
2015,8,2015-08-31T23:59:00,92.7,73.0,82.9,4.7,553.0,0.0
2015,9,2015-09-30T23:59:00,86.4,68.6,77.5,5.4,375.0,0.0
2015,10,2015-10-31T23:59:00,79.9,58.0,69.0,5.8,134.0,11.0
2015,11,2015-11-30T23:59:00,74.9,54.1,64.5,5.6,104.0,118.0
2015,12,2015-12-31T23:59:00,72.7,51.9,62.3,5.1,74.0,158.0
2016,1,2016-01-31T23:59:00,59.0,37.2,48.1,6.3,0.0,523.0
2016,2,2016-02-29T23:59:00,65.6,40.6,53.1,6.9,3.0,347.0
2016,3,2016-03-31T23:59:00,75.5,52.0,63.8,6.5,80.0,119.0
2016,4,2016-04-30T23:59:00,78.6,55.3,67.0,6.0,99.0,40.0
2016,5,2016-05-31T23:59:00,86.6,62.4,74.5,5.1,298.0,4.0
2016,6,2016-06-30T23:59:00,92.8,71.1,82.0,4.9,508.0,0.0
2016,7,2016-07-31T23:59:00,96.0,73.7,84.9,4.7,616.0,0.0
2016,8,2016-08-31T23:59:00,94.1,74.3,84.2,5.1,594.0,0.0
2016,9,2016-09-30T23:59:00,91.4,69.8,80.6,4.5,467.0,0.0
2016,10,2016-10-31T23:59:00,86.5,58.3,72.4,5.1,240.0,11.0
2016,11,2016-11-30T23:59:00,77.1,47.3,62.2,5.1,53.0,136.0
2016,12,2016-12-31T23:59:00,67.7,47.0,57.4,5.8,22.0,259.0
2017,1,2017-01-31T23:59:00,68.5,44.7,56.6,6.0,18.0,277.0
2017,2,2017-02-28T23:59:00,74.1,46.9,60.5,5.6,16.0,142.0
2017,3,2017-03-31T23:59:00,74.7,49.4,62.1,6.9,75.0,167.0
2017,4,2017-04-30T23:59:00,84.3,57.1,70.7,6.0,198.0,27.0
2017,5,2017-05-31T23:59:00,86.2,62.8,74.5,6.0,305.0,10.0
2017,6,2017-06-30T23:59:00,87.8,71.0,79.4,4.7,431.0,0.0
2017,7,2017-07-31T23:59:00,92.6,73.6,83.1,4.5,561.0,0.0
2017,8,2017-08-31T23:59:00,92.9,73.6,83.3,4.9,564.0,0.0
2017,9,2017-09-30T23:59:00,89.2,67.2,78.2,5.1,397.0,0.0
2017,10,2017-10-31T23:59:00,83.0,59.9,71.5,7.2,259.0,60.0
2017,11,2017-11-30T23:59:00,74.2,47.6,60.9,4.0,39.0,163.0
2017,12,2017-12-31T23:59:00,63.2,43.7,53.5,5.6,11.0,367.0
2018,1,2018-01-31T23:59:00,59.2,34.5,46.9,6.3,4.0,566.0
2018,2,2018-02-28T23:59:00,74.1,53.1,63.6,6.0,74.0,112.0
2018,3,2018-03-31T23:59:00,71.4,45.8,58.6,7.4,41.0,240.0
2018,4,2018-04-30T23:59:00,77.3,51.4,64.4,6.9,45.0,64.0
2018,5,2018-05-31T23:59:00,88.5,66.8,77.7,5.1,393.0,0.0
2018,6,2018-06-30T23:59:00,93.1,72.2,82.7,4.5,530.0,0.0
2018,7,2018-07-31T23:59:00,91.8,74.0,82.9,4.0,556.0,0.0
2018,8,2018-08-31T23:59:00,91.3,73.1,82.2,4.3,532.0,0.0
2018,9,2018-09-30T23:59:00,93.9,73.4,83.7,4.7,558.0,0.0
2018,10,2018-10-31T23:59:00,84.9,61.7,73.3,5.8,251.0,22.0
2018,11,2018-11-30T23:59:00,67.9,47.2,57.6,5.4,49.0,274.0
2018,12,2018-12-31T23:59:00,63.5,44.8,54.2,5.8,18.0,350.0
2019,1,2019-01-31T23:59:00,63.4,40.7,52.1,6.0,15.0,416.0
2019,2,2019-02-28T23:59:00,72.4,50.8,61.6,6.5,40.0,135.0
2019,3,2019-03-31T23:59:00,72.4,48.3,60.4,6.3,37.0,181.0
2019,4,2019-04-30T23:59:00,80.7,55.6,68.2,,129.0,35.0
